Date,Campaign_Name,Channel,Impressions,Clicks,Conversions,Cost,Revenue,Target_Audience,Ad_Type,Geo_Location,CTR,Conversion_Rate,ROAS
2024-01-15,New Year Sale,Facebook,125000,2450,98,1200.50,4850.00,25-35 Female,Image,USA,1.96,4.00,4.04
2024-01-16,Winter Collection,Google Ads,89000,1780,67,980.25,3215.50,30-45 Male,Text,Canada,2.00,3.76,3.28
2024-01-17,Flash Sale,Instagram,156000,3120,145,1450.75,7250.00,18-30 Mixed,Video,UK,2.00,4.65,5.00
2024-01-18,Product Launch,LinkedIn,45000,675,32,850.00,1920.00,35-50 Professional,Sponsored,Australia,1.50,4.74,2.26
2024-01-19,Weekend Deal,Twitter,78000,1170,48,690.30,2160.00,20-35 Mixed,Tweet,USA,1.50,4.10,3.13
2024-01-20,Brand Awareness,YouTube,234000,4680,187,2100.00,9350.00,25-40 Mixed,Video,Global,2.00,4.00,4.45
2024-01-21,Retargeting,Facebook,67000,1675,89,1205.50,4450.00,Previous Visitors,Carousel,USA,2.50,5.31,3.69
2024-01-22,Spring Preview,Google Ads,112000,2240,95,1340.75,4275.00,30-45 Female,Shopping,Europe,2.00,4.24,3.19
2024-01-23,Mobile App,Instagram,189000,5670,234,1890.00,11700.00,18-35 Mobile,Story,USA,3.00,4.13,6.19
2024-01-24,B2B Campaign,LinkedIn,56000,840,45,1120.00,2700.00,Business Owners,Article,Worldwide,1.50,5.36,2.41
2024-01-25,Influencer Collab,TikTok,298000,8940,356,2980.00,17800.00,16-25 Mixed,Video,USA,3.00,3.98,5.97
2024-01-26,Email Remarketing,Email,15000,1800,126,300.00,3150.00,Subscribers,Newsletter,Global,12.00,7.00,10.50
2024-01-27,Local Promotion,Google Ads,34000,680,28,425.50,1260.00,Local Residents,Local,City,2.00,4.12,2.96
2024-01-28,Valentine's Day,Facebook,145000,2900,132,1740.00,6600.00,25-40 Couples,Video,USA,2.00,4.55,3.79
2024-01-29,Cross-sell Campaign,Instagram,89000,1780,76,890.00,3420.00,Existing Customers,Collection,Canada,2.00,4.27,3.84
2024-01-30,Content Marketing,YouTube,167000,3340,158,1450.00,7900.00,Content Seekers,Educational,Global,2.00,4.73,5.45
2024-02-01,February Sale,Facebook,178000,3560,167,1890.00,8350.00,Bargain Hunters,Offer,USA,2.00,4.69,4.42
2024-02-02,Tech Products,Google Ads,145000,4350,189,2175.00,9450.00,Tech Enthusiasts,Display,Worldwide,3.00,4.34,4.34
2024-02-03,Lifestyle Brand,Instagram,223000,6690,278,2560.00,13900.00,Lifestyle Focused,Reel,Global,3.00,4.16,5.43
2024-02-04,Professional Services,LinkedIn,67000,1005,58,1340.00,3480.00,Professionals,Carousel,Business,1.50,5.77,2.60
2024-02-05,Viral Challenge,TikTok,445000,13350,534,3560.00,26700.00,Gen Z,Challenge,Worldwide,3.00,4.00,7.50
2024-02-06,Newsletter Promo,Email,18000,2160,162,450.00,4050.00,VIP Customers,Exclusive,Premium,12.00,7.50,9.00
2024-02-07,Geographic Test,Google Ads,56000,1120,48,700.00,2160.00,Regional,Search,Region,2.00,4.29,3.09
2024-02-08,Loyalty Program,Facebook,134000,2680,145,1607.00,7250.00,Repeat Customers,Loyalty,Existing,2.00,5.41,4.51
2024-02-09,New Feature,Instagram,198000,5940,267,2376.00,13350.00,Power Users,Feature,App Users,3.00,4.49,5.62
2024-02-10,Educational Content,YouTube,234000,4680,201,2106.00,10050.00,Learners,Tutorial,Educational,2.00,4.29,4.77
2024-02-11,Peak Season,Facebook,267000,5340,267,2937.00,13350.00,High Intent,Urgency,Seasonal,2.00,5.00,4.54
2024-02-12,Product Demo,Google Ads,123000,3690,156,1845.00,7800.00,Prospects,Demo,Consideration,3.00,4.23,4.23
2024-02-13,Social Proof,Instagram,178000,5340,234,2134.00,11700.00,Social Browsers,UGC,Social,3.00,4.38,5.48
2024-02-14,Valentine's Special,TikTok,356000,10680,445,3204.00,22250.00,Couples,Romance,Holiday,3.00,4.17,6.95
2024-02-15,Customer Stories,LinkedIn,78000,1170,67,1170.00,4020.00,Decision Makers,Case Study,B2B,1.50,5.73,3.44
2024-02-16,Flash Mob Sale,Email,22000,2640,201,550.00,5025.00,Flash Buyers,Limited Time,Exclusive,12.00,7.61,9.14
2024-02-17,Competitor Analysis,Google Ads,89000,1780,78,1068.00,3510.00,Switchers,Comparison,Competitive,2.00,4.38,3.29
2024-02-18,User Generated,Instagram,234000,7020,312,2808.00,15600.00,Community,UGC,Community,3.00,4.44,5.56
2024-02-19,Thought Leadership,LinkedIn,98000,1470,89,1470.00,5340.00,Industry Leaders,Thought,Professional,1.50,6.05,3.63
2024-02-20,Seasonal Trend,TikTok,445000,13350,578,4005.00,28900.00,Trend Followers,Trending,Viral,3.00,4.33,7.21
2024-02-21,Premium Launch,YouTube,189000,3780,167,2079.00,8350.00,Premium Segment,Launch,Premium,2.00,4.42,4.02
2024-02-22,Community Building,Facebook,156000,3120,134,1716.00,6700.00,Community,Engagement,Social,2.00,4.29,3.90
2024-02-23,Feature Highlight,Google Ads,134000,4020,178,2010.00,8900.00,Feature Seekers,Feature,Product,3.00,4.43,4.43
2024-02-24,Weekend Warriors,Instagram,198000,5940,267,2376.00,13350.00,Weekend Shoppers,Weekend,Lifestyle,3.00,4.49,5.62
2024-02-25,Expert Insights,LinkedIn,67000,1005,56,1005.00,3360.00,Experts,Insight,Knowledge,1.50,5.57,3.34
